unit_id,unit_title,lesson_id,lesson_title,lesson_activity,lesson_activity_name,lesson_notes,lesson_video_id,lesson_objectives
1,"Introduction, Environment Setup and Configuration",1,Introduction,,,http://kfs-training.appspot.com/courses/Day1/assets/slides/Introduction.html,6Hfl--jZBeY,<ul><li>Quick Overview</li></ul>
1,"Introduction, Environment Setup and Configuration",2,Envronment Setup and Configuration,,,http://r351574nc3.github.com/liquibase-course/lessons/Lesson1.2.html,,<ul><li>High level overview of Liquibase</li><li>Understand how Liquibase works on a fundamental level</li></ul>
1,"Introduction, Environment Setup and Configuration",3,kfs-build.properties,,,http://r351574nc3.github.com/liquibase-course/lessons/Lesson1.2.html,,<ul><li>High level overview of Liquibase</li><li>Understand how Liquibase works on a fundamental level</li></ul>
2,Maintenance Documents,1,Business Objects,yes,Lesson 2.1 Activity,http://r351574nc3.github.com/liquibase-course/lessons/Lesson2.1.html,lu0rrpYD_F8,<ul><li>Find the liquibase website</li><li>Download the liquibase CLI tool</li><li>Setup Liquibase to apply changelogs</li></ul>
2,Maintenance Documents,2,Object/Relational Mapping and OJB,yes,Lesson 2.2 Activity,http://r351574nc3.github.com/liquibase-course/lessons/Lesson2.2.html,,<ul><li>Get to know the update action of the Liquibase CLI</li><li>First hand exposure to Liquibase CLI</li><li>First hand exposure to change logs</li></ul>
2,Maintenance Documents,3,The Kuali Data Dictionary,yes,Lesson 2.3 Activity,http://r351574nc3.github.com/liquibase-course/lessons/Lesson2.3.html,,<ul><li>Understand how to configure Liquibase iwth Maven.</li><li>Get to know some Liquibase Maven plugins that are available</li><li>Draw parallels between CLI and Maven</li><li>More experience running Liquibase update</li></ul>
